City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sangar,RU,2022-02-02 23:24:33,63.9242,127.4739,-33.21,100,61,2.98
68,San Patricio,US,2022-02-02 23:23:29,28.017,-97.5169,77.09,75,88,12.21
69,Narsaq,GL,2022-02-02 23:20:41,60.9167,-46.05,3.42,64,65,8.28
70,Constitucion,CL,2022-02-02 23:24:34,-35.3333,-72.4167,62.73,77,38,7.92
71,Saurimo,AO,2022-02-02 23:24:34,-9.6608,20.3916,64.35,97,93,3.18
72,Karratha,AU,2022-02-02 23:24:35,-20.7377,116.8463,81.97,71,100,5.44
73,Kulhudhuffushi,MV,2022-02-02 23:24:35,6.6221,73.07,80.15,74,34,8.57
74,Hilo,US,2022-02-02 23:24:35,19.7297,-155.09,80.33,70,75,12.66
75,Cabo San Lucas,MX,2022-02-02 23:23:05,22.8909,-109.9124,74.61,63,40,3.0
76,Le Port,RE,2022-02-02 23:24:36,-20.9373,55.2919,80.6,88,100,17.67
77,Lebowakgomo,ZA,2022-02-02 23:24:36,-24.2,29.5,68.9,66,2,6.55
78,Dikson,RU,2022-02-02 23:24:36,73.5069,80.5464,-8.01,98,93,10.04
79,Upernavik,GL,2022-02-02 23:24:37,72.7868,-56.1549,-8.32,67,97,9.95
80,Salalah,OM,2022-02-02 23:24:37,17.0151,54.0924,77.09,22,0,6.91
81,Bengkulu,ID,2022-02-02 23:24:38,-3.8004,102.2655,76.14,88,95,4.97
82,Kokorevka,RU,2022-02-02 23:24:38,52.5872,34.2778,22.26,96,100,5.53
83,Guatire,VE,2022-02-02 23:24:39,10.4762,-66.5427,77.5,91,23,3.87
84,Puerto Ayora,EC,2022-02-02 23:24:39,-0.7393,-90.3518,76.55,90,31,4.0
85,San Blas,MX,2022-02-02 23:24:39,21.5167,-105.2667,87.69,57,0,6.82
86,Sibanicu,CU,2022-02-02 23:24:40,21.235,-77.5264,75.65,72,47,15.19
87,Port Lincoln,AU,2022-02-02 23:24:04,-34.7333,135.8667,64.8,68,23,16.31
88,Kaitangata,NZ,2022-02-02 23:22:53,-46.2817,169.8464,54.03,94,100,5.06
89,General Roca,AR,2022-02-02 23:20:58,-39.0333,-67.5833,86.4,23,6,20.36
90,Khasan,RU,2022-02-02 23:25:40,42.4308,130.6434,15.3,54,1,19.19
91,Komsomolskiy,UZ,2022-02-02 23:25:41,40.4272,71.7189,36.32,87,100,2.3
92,Vostok,RU,2022-02-02 23:25:41,46.4856,135.8833,-5.37,99,100,3.56
93,Yerbogachen,RU,2022-02-02 23:25:41,61.2767,108.0108,-4.76,99,98,3.56
94,Metro,ID,2022-02-02 23:25:42,-5.1131,105.3067,72.93,96,74,4.21
95,Tahta,EG,2022-02-02 23:25:42,26.7693,31.5021,55.72,37,65,2.28
96,Hobart,AU,2022-02-02 23:25:31,-42.8794,147.3294,60.66,52,75,13.8
97,Cayenne,GF,2022-02-02 23:25:43,4.9333,-52.3333,80.1,84,75,5.01
98,Kaoma,ZM,2022-02-02 23:25:43,-14.7833,24.8,66.18,96,100,1.5
99,Yuanping,CN,2022-02-02 23:25:43,38.7153,112.7575,19.67,27,0,2.82
100,Olafsvik,IS,2022-02-02 23:25:44,64.8945,-23.7142,30.25,52,98,4.27
101,Moerai,PF,2022-02-02 23:25:44,-22.4333,-151.3333,80.04,76,91,16.71
102,Nome,US,2022-02-02 23:25:44,64.5011,-165.4064,9.1,62,0,32.21
103,Klyuchi,RU,2022-02-02 23:25:45,52.2667,79.1667,-4.85,100,88,3.31
104,Westport,US,2022-02-02 23:25:45,41.1415,-73.3579,41.76,93,100,1.99
105,Charters Towers,AU,2022-02-02 23:25:45,-20.1,146.2667,82.35,72,100,11.25
106,Qaqortoq,GL,2022-02-02 23:25:46,60.7167,-46.0333,3.7,66,65,8.01
107,Bethel,US,2022-02-02 23:25:46,41.3712,-73.414,40.41,87,100,1.86
108,Jamestown,US,2022-02-02 23:25:47,42.097,-79.2353,40.32,67,100,4.0
109,Tabou,CI,2022-02-02 23:25:47,4.423,-7.3528,79.0,81,68,8.05
110,Saint George,US,2022-02-02 23:22:43,37.1041,-113.5841,43.63,20,0,4.0
111,Tuatapere,NZ,2022-02-02 23:25:47,-46.1333,167.6833,58.82,81,100,7.2
112,Faanui,PF,2022-02-02 23:25:48,-16.4833,-151.75,81.14,72,17,19.46
113,Stromness,GB,2022-02-02 23:25:48,58.965,-3.296,48.45,94,100,21.14
114,Kupang,ID,2022-02-02 23:25:48,-10.1667,123.5833,79.12,83,99,9.08
115,Puerto Madryn,AR,2022-02-02 23:25:49,-42.7692,-65.0385,83.71,26,66,12.97
116,Ialibu,PG,2022-02-02 23:25:49,-6.2821,143.9935,59.7,80,100,1.12
117,Savelugu,GH,2022-02-02 23:25:49,9.6244,-0.8253,75.81,8,24,7.14
118,Tyukalinsk,RU,2022-02-02 23:25:50,55.8732,72.1967,19.9,88,100,9.95
119,Yulara,AU,2022-02-02 23:25:50,-25.2406,130.9889,67.84,52,100,14.97
120,Inagi,JP,2022-02-02 23:25:50,35.6382,139.5078,39.7,53,29,4.16
121,Troitskoye,RU,2022-02-02 23:25:51,52.9821,84.6757,-3.5,100,82,2.46
122,Naze,JP,2022-02-02 23:25:51,28.3667,129.4833,54.52,88,100,24.29
123,Cordoba,AR,2022-02-02 23:25:51,-31.4135,-64.1811,80.76,67,40,1.99
124,Puqi,CN,2022-02-02 23:25:52,29.7167,113.8833,36.54,92,98,1.74
125,Avarua,CK,2022-02-02 23:21:00,-21.2078,-159.775,84.25,79,20,18.41
