,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Dunedin,NZ,-45.8742,170.5036,52.81,81,100,5.01,overcast clouds
79,Saint-Philippe,RE,-21.3585,55.7679,80.19,87,100,27.63,moderate rain
80,Tasiilaq,GL,65.6145,-37.6368,21.36,64,100,39.95,overcast clouds
81,Vaini,TO,-21.2,-175.2,75.36,100,100,8.05,light rain
82,Avera,US,33.194,-82.5271,66.88,92,100,10.6,overcast clouds
83,La Vega,DO,19.2221,-70.5296,81.28,65,88,8.9,overcast clouds
84,Buala,SB,-8.145,159.5921,80.6,85,100,8.19,overcast clouds
85,Taylor,US,32.3001,-99.8337,31.73,72,0,8.01,snow
86,Hobart,AU,-42.8794,147.3294,58.26,86,75,5.75,broken clouds
87,Grindavik,IS,63.8424,-22.4338,27.07,80,100,8.05,overcast clouds
88,Dikson,RU,73.5069,80.5464,-3.69,90,100,5.86,overcast clouds
89,Kapaa,US,22.0752,-159.319,73.38,77,0,0.0,clear sky
90,Caravelas,BR,-17.7125,-39.2481,77.04,87,100,6.91,moderate rain
91,Ilulissat,GL,69.2167,-51.1,15.82,73,100,17.27,overcast clouds
92,La Asuncion,VE,11.0333,-63.8628,73.13,78,0,18.41,clear sky
93,Leshukonskoye,RU,64.8989,45.7622,-11.16,100,100,2.86,overcast clouds
94,Kangaatsiaq,GL,68.3065,-53.4641,7.68,79,100,19.8,overcast clouds
95,Nigde,TR,37.8333,34.75,22.1,97,100,3.94,light snow
96,Kahului,US,20.8947,-156.47,76.84,68,0,0.0,clear sky
97,Melville,US,40.7934,-73.4151,38.95,85,100,3.0,mist
98,Ostrovnoy,RU,68.0531,39.5131,5.61,96,100,11.74,overcast clouds
99,Mukhen,RU,48.1,136.1,-3.91,98,100,2.26,overcast clouds
100,Bengkulu,ID,-3.8004,102.2655,73.49,95,100,5.73,overcast clouds
101,Cape Town,ZA,-33.9258,18.4232,68.41,62,0,5.01,clear sky
102,Hervey Bay,AU,-25.2986,152.8535,68.11,67,87,26.26,overcast clouds
103,Pringsewu,ID,-5.3582,104.9744,72.82,99,97,3.74,overcast clouds
104,Bara,NG,10.3744,10.7288,73.15,17,0,7.92,clear sky
105,Grass Valley,US,39.2191,-121.0611,59.09,30,0,1.01,clear sky
106,Geraldton,AU,-28.7667,114.6,72.01,53,0,3.44,clear sky
107,Hasaki,JP,35.7333,140.8333,27.0,44,97,21.79,overcast clouds
108,Lompoc,US,34.6391,-120.4579,68.11,43,0,0.0,clear sky
109,Castro,BR,-24.7911,-50.0119,67.01,96,100,6.69,heavy intensity rain
110,Cap Malheureux,MU,-19.9842,57.6142,81.09,82,100,8.99,overcast clouds
111,Shahjahanpur,IN,27.8833,79.9167,50.47,91,0,4.18,clear sky
112,Sao Filipe,CV,14.8961,-24.4956,74.03,71,0,8.7,clear sky
113,Shelburne,CA,44.0787,-80.2041,14.13,77,100,6.55,overcast clouds
114,Aripuana,BR,-9.1667,-60.6333,86.04,69,100,0.96,light rain
115,Batagay,RU,67.6333,134.6333,-38.04,98,36,1.97,scattered clouds
116,Amapa,BR,1.0,-52.0,77.52,95,100,4.16,overcast clouds
117,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,16.11,light rain
118,Los Ranchos De Albuquerque,US,35.162,-106.6428,32.76,51,0,1.99,clear sky
119,Gore,NZ,-46.1028,168.9436,46.2,97,100,1.57,overcast clouds
120,Pisco,PE,-13.7,-76.2167,75.25,64,0,11.5,clear sky
121,Marrakesh,MA,31.6315,-8.0083,73.47,27,40,6.91,scattered clouds
122,Nyurba,RU,63.2842,118.3319,-27.26,99,40,2.8,scattered clouds
123,Chokwe,MZ,-24.5333,32.9833,77.02,75,0,9.71,clear sky
124,Raudeberg,NO,61.9875,5.1352,38.86,92,100,11.99,overcast clouds
125,Turayf,SA,31.6725,38.6637,43.05,75,0,6.91,clear sky
126,Port Alfred,ZA,-33.5906,26.891,68.16,80,100,7.52,light rain
127,Waipawa,NZ,-41.4122,175.5153,56.03,95,100,12.46,overcast clouds
128,Saint-Pierre,RE,-21.3393,55.4781,80.28,78,75,10.36,broken clouds
129,Nola,IT,40.922,14.5329,54.01,73,100,2.24,overcast clouds
130,Kaitangata,NZ,-46.2817,169.8464,51.93,68,60,4.74,broken clouds
131,Broken Hill,AU,-31.95,141.4333,64.11,48,100,8.05,overcast clouds
132,Veraval,IN,20.9,70.3667,66.88,56,4,4.07,clear sky
133,Tautira,PF,-17.7333,-149.15,84.22,77,14,15.19,light rain
134,Upernavik,GL,72.7868,-56.1549,-0.98,100,79,9.95,broken clouds
135,Angoram,PG,-4.0625,144.0661,72.64,99,100,1.95,overcast clouds
136,Lago Da Pedra,BR,-4.3333,-45.1667,82.72,81,100,2.01,moderate rain
137,Hofn,IS,64.2539,-15.2082,28.42,59,20,19.57,few clouds
138,Avarua,CK,-21.2078,-159.775,80.65,78,40,12.66,scattered clouds
139,Port Elizabeth,ZA,-33.918,25.5701,67.1,88,40,3.44,scattered clouds
140,The Valley,AI,18.217,-63.0578,79.83,78,75,18.41,broken clouds
